ID,date_created,image_urls,images,picture_1,picture_2,picture_3,picture_4,slug
345713224,2023-03-23T22:38:05.525579Z,"https://media-photos.depop.com/b1/40229366/1470822802_2c92de6eab3f41ffbd7ff1d49a45c6e3/P8.jpg,https://media-photos.depop.com/b1/40229366/1470822832_18e8192f2670486da5477aca2e4a761a/P8.jpg,https://media-photos.depop.com/b1/40229366/1470822873_1807380157424d50b56a11f909a14a9b/P8.jpg,https://media-photos.depop.com/b1/40229366/1470822925_b6c9ea7b8e09414e8788c945f157675b/P8.jpg","[{'url': 'https://media-photos.depop.com/b1/40229366/1470822802_2c92de6eab3f41ffbd7ff1d49a45c6e3/P8.jpg', 'path': 'full/94222052a41323faff66318a0c35ae1a7ffbc0b3.jpg', 'checksum': '897b9fcdad0a36ca1ec3bc7d747376df', 'status': 'downloaded'}, {'url': 'https://media-photos.depop.com/b1/40229366/1470822832_18e8192f2670486da5477aca2e4a761a/P8.jpg', 'path': 'full/cb99723eb62134bc52cd457f815eccaf1b2b07d0.jpg', 'checksum': 'dac6869a6d6a5b03d8c436f13b7223c9', 'status': 'downloaded'}, {'url': 'https://media-photos.depop.com/b1/40229366/1470822873_1807380157424d50b56a11f909a14a9b/P8.jpg', 'path': 'full/0de083d6cdd0c4ddc583c1628693458a8e23070f.jpg', 'checksum': '0b24c7834f07bdb922097c7c9e01080c', 'status': 'downloaded'}, {'url': 'https://media-photos.depop.com/b1/40229366/1470822925_b6c9ea7b8e09414e8788c945f157675b/P8.jpg', 'path': 'full/331aa9e996b6afdfcf334564eb6a12647155ae51.jpg', 'checksum': '0eb61e14db42a812c37dddb056453860', 'status': 'downloaded'}]",https://media-photos.depop.com/b1/40229366/1470822802_2c92de6eab3f41ffbd7ff1d49a45c6e3/P8.jpg,https://media-photos.depop.com/b1/40229366/1470822832_18e8192f2670486da5477aca2e4a761a/P8.jpg,https://media-photos.depop.com/b1/40229366/1470822873_1807380157424d50b56a11f909a14a9b/P8.jpg,https://media-photos.depop.com/b1/40229366/1470822925_b6c9ea7b8e09414e8788c945f157675b/P8.jpg,india00hesketh-dorothy-perkins-utility-shirt-dress
345722311,2023-03-23T23:37:45.746785Z,"https://media-photos.depop.com/b1/10555115/1470859014_fa7fcb7363504ed9afeff8ba3b223259/P8.jpg,https://media-photos.depop.com/b1/10555115/1470859035_9b719f110937400b9267dc431d603d2e/P8.jpg,https://media-photos.depop.com/b1/10555115/1470859056_233bc41fc29248489f9db6b7128103da/P8.jpg,https://media-photos.depop.com/b1/10555115/1470861611_903968714af040d8bd8ebadbef0293d4/P8.jpg","[{'url': 'https://media-photos.depop.com/b1/10555115/1470859014_fa7fcb7363504ed9afeff8ba3b223259/P8.jpg', 'path': 'full/1bd17975e282a9c2615c1f827bfb226276e9a7ea.jpg', 'checksum': 'fc2f2ad75f38c8d08d310521c8414c47', 'status': 'downloaded'}, {'url': 'https://media-photos.depop.com/b1/10555115/1470859035_9b719f110937400b9267dc431d603d2e/P8.jpg', 'path': 'full/5fab4e06bd88bc8ae24e65e0b7d021283b053ba2.jpg', 'checksum': '93147b7e524b9a34e64c0e10c76efb26', 'status': 'downloaded'}, {'url': 'https://media-photos.depop.com/b1/10555115/1470859056_233bc41fc29248489f9db6b7128103da/P8.jpg', 'path': 'full/14aa42b40f305f0ef54ed32f19d4157ba06cec1b.jpg', 'checksum': '57e430e368eef292644c9a6b828e3f8e', 'status': 'downloaded'}, {'url': 'https://media-photos.depop.com/b1/10555115/1470861611_903968714af040d8bd8ebadbef0293d4/P8.jpg', 'path': 'full/d22ec639429e9b6d8ea03d2e5e97705b5c47eeb9.jpg', 'checksum': '100fbb7168d8158685bd002191af80ab', 'status': 'downloaded'}]",https://media-photos.depop.com/b1/10555115/1470859014_fa7fcb7363504ed9afeff8ba3b223259/P8.jpg,https://media-photos.depop.com/b1/10555115/1470859035_9b719f110937400b9267dc431d603d2e/P8.jpg,https://media-photos.depop.com/b1/10555115/1470859056_233bc41fc29248489f9db6b7128103da/P8.jpg,https://media-photos.depop.com/b1/10555115/1470861611_903968714af040d8bd8ebadbef0293d4/P8.jpg,claire461461-brand-new-missguided-mesh-stripe
345720649,2023-03-23T23:26:33.246503Z,"https://media-photos.depop.com/b1/20072917/1470852194_a7c3506e6728465e90efccf7a3f14852/P8.jpg,https://media-photos.depop.com/b1/20072917/1470852232_96bb3b08fb8a48c38d1f334022ec6a30/P8.jpg","[{'url': 'https://media-photos.depop.com/b1/20072917/1470852194_a7c3506e6728465e90efccf7a3f14852/P8.jpg', 'path': 'full/492a2eacba6e3344ef547adb300086a1f8935548.jpg', 'checksum': '8d7215b85f5343b000091d318c5a8192', 'status': 'downloaded'}, {'url': 'https://media-photos.depop.com/b1/20072917/1470852232_96bb3b08fb8a48c38d1f334022ec6a30/P8.jpg', 'path': 'full/bf583ea2cc2b32557e5793b9ebdfc6725ca7d944.jpg', 'checksum': 'd1c9cab915f82b0e3fc919e03391f675', 'status': 'downloaded'}]",https://media-photos.depop.com/b1/20072917/1470852194_a7c3506e6728465e90efccf7a3f14852/P8.jpg,https://media-photos.depop.com/b1/20072917/1470852232_96bb3b08fb8a48c38d1f334022ec6a30/P8.jpg,,,bellafianderxox-oh-polly-halter-neck-angled
345706034,2023-03-23T21:55:07.216853Z,"https://media-photos.depop.com/b1/15471973/1470795611_6d7caa0b1a0c48fc8a5018d6cb5d8c20/P8.jpg,https://media-photos.depop.com/b1/15471973/1470795640_729f430f15b944c79c2d9373c27fa83f/P8.jpg,https://media-photos.depop.com/b1/15471973/1470795661_a732061136994063992759d263cf99a7/P8.jpg,https://media-photos.depop.com/b1/15471973/1470795682_187f4cf26ca840f7a5a1926a1b9be53c/P8.jpg","[{'url': 'https://media-photos.depop.com/b1/15471973/1470795611_6d7caa0b1a0c48fc8a5018d6cb5d8c20/P8.jpg', 'path': 'full/e499db911917a7f7b7983429e37d54785be8d423.jpg', 'checksum': '0cdab6b67080b6fdf0341fe4cf913a99', 'status': 'downloaded'}, {'url': 'https://media-photos.depop.com/b1/15471973/1470795640_729f430f15b944c79c2d9373c27fa83f/P8.jpg', 'path': 'full/59753dd806af10d4f1a2161b4a7a2e9cfd23f76d.jpg', 'checksum': 'cffaa6c75c3cf261a39ad709577528e5', 'status': 'downloaded'}, {'url': 'https://media-photos.depop.com/b1/15471973/1470795661_a732061136994063992759d263cf99a7/P8.jpg', 'path': 'full/1d18829460e42649c92ba17c6415a3e0a2025cfa.jpg', 'checksum': 'e4a2e2ce606346f3097d7297650c3d1a', 'status': 'downloaded'}, {'url': 'https://media-photos.depop.com/b1/15471973/1470795682_187f4cf26ca840f7a5a1926a1b9be53c/P8.jpg', 'path': 'full/fcd3fa98074f0ae491e5c9a71728c3b9f63b2a2d.jpg', 'checksum': '1795f9a125550840dfc2e81e8e3f4a6a', 'status': 'downloaded'}]",https://media-photos.depop.com/b1/15471973/1470795611_6d7caa0b1a0c48fc8a5018d6cb5d8c20/P8.jpg,https://media-photos.depop.com/b1/15471973/1470795640_729f430f15b944c79c2d9373c27fa83f/P8.jpg,https://media-photos.depop.com/b1/15471973/1470795661_a732061136994063992759d263cf99a7/P8.jpg,https://media-photos.depop.com/b1/15471973/1470795682_187f4cf26ca840f7a5a1926a1b9be53c/P8.jpg,graciew04-jaslene-ruched-corset-mini-dress
345713293,2023-03-23T22:38:34.662853Z,https://media-photos.depop.com/b1/32498914/1470824267_7239facda00442f888790c71133fdda3/P8.jpg,"[{'url': 'https://media-photos.depop.com/b1/32498914/1470824267_7239facda00442f888790c71133fdda3/P8.jpg', 'path': 'full/ee4beaedef516e4bd69a04e0a6a4b419a001b863.jpg', 'checksum': '7a952c42d34cc59d5fa84b7123d353dd', 'status': 'downloaded'}]",https://media-photos.depop.com/b1/32498914/1470824267_7239facda00442f888790c71133fdda3/P8.jpg,,,,r000byn-black-lace-dress-size-xs
345708635,2023-03-23T22:10:30.790435Z,"https://media-photos.depop.com/b1/9866525/1470805512_5ae9b981241b4e188ae4729862130ad8/P8.jpg,https://media-photos.depop.com/b1/9866525/1470805538_05a29bb82072453abe691395f252c92d/P8.jpg","[{'url': 'https://media-photos.depop.com/b1/9866525/1470805512_5ae9b981241b4e188ae4729862130ad8/P8.jpg', 'path': 'full/db07b66d759f3ad43d8de7c8f91e873349e8193b.jpg', 'checksum': 'eae392f6546d78be2a86bbb642dc77d0', 'status': 'downloaded'}, {'url': 'https://media-photos.depop.com/b1/9866525/1470805538_05a29bb82072453abe691395f252c92d/P8.jpg', 'path': 'full/715a1dbdfce622f1538b94c7b540f4bda8d21b75.jpg', 'checksum': '6a211256aa77ce824d5cd77a1ba159f1', 'status': 'downloaded'}]",https://media-photos.depop.com/b1/9866525/1470805512_5ae9b981241b4e188ae4729862130ad8/P8.jpg,https://media-photos.depop.com/b1/9866525/1470805538_05a29bb82072453abe691395f252c92d/P8.jpg,,,chloejames98-polka-dot-dress
345705761,2023-03-23T21:53:37.689551Z,"https://media-photos.depop.com/b1/8152534/1470790145_757b1ad055854707813841ce3ca37dbf/P8.jpg,https://media-photos.depop.com/b1/8152534/1470790157_7d55a100eea54ffca98bbd6243363ef1/P8.jpg,https://media-photos.depop.com/b1/8152534/1470790181_b687a83e3eac4704a98bc142abc36e05/P8.jpg","[{'url': 'https://media-photos.depop.com/b1/8152534/1470790145_757b1ad055854707813841ce3ca37dbf/P8.jpg', 'path': 'full/da362cb3ec90c9e0dbc6a42972f1b606909653b0.jpg', 'checksum': 'da9ca8dfd1b552540f9cbe77da37fb12', 'status': 'downloaded'}, {'url': 'https://media-photos.depop.com/b1/8152534/1470790157_7d55a100eea54ffca98bbd6243363ef1/P8.jpg', 'path': 'full/5dd773b6bc94d7afa849e282eee8ea770a9e81a4.jpg', 'checksum': 'ae57514c398483587ffc7d9db0c80c22', 'status': 'downloaded'}, {'url': 'https://media-photos.depop.com/b1/8152534/1470790181_b687a83e3eac4704a98bc142abc36e05/P8.jpg', 'path': 'full/d873fcda9e3eb897e07051045414875002ed14c5.jpg', 'checksum': 'b1d815f5a907ace2c75bd05e8b27af46', 'status': 'downloaded'}]",https://media-photos.depop.com/b1/8152534/1470790145_757b1ad055854707813841ce3ca37dbf/P8.jpg,https://media-photos.depop.com/b1/8152534/1470790157_7d55a100eea54ffca98bbd6243363ef1/P8.jpg,https://media-photos.depop.com/b1/8152534/1470790181_b687a83e3eac4704a98bc142abc36e05/P8.jpg,,chloebechx-plt-petite-newspaper-print-mini
345718917,2023-03-23T23:14:27.600842Z,"https://media-photos.depop.com/b1/39895752/1470846289_1dc8277786914b12a5a4e6ce0f32d1aa/P8.jpg,https://media-photos.depop.com/b1/39895752/1470846302_db9ec6667d9048a2aa4b9c1ead41aca3/P8.jpg,https://media-photos.depop.com/b1/39895752/1470846326_b114570bdf7d4ea3ac0c400a65ed484c/P8.jpg,https://media-photos.depop.com/b1/39895752/1470846349_510bc3da6c2b4450a0690f1503df761d/P8.jpg","[{'url': 'https://media-photos.depop.com/b1/39895752/1470846289_1dc8277786914b12a5a4e6ce0f32d1aa/P8.jpg', 'path': 'full/9d976951fdf124af33e7b39f0050edfabcbfd606.jpg', 'checksum': 'fbf79030d9c0b5c013eca83f71848c16', 'status': 'downloaded'}, {'url': 'https://media-photos.depop.com/b1/39895752/1470846302_db9ec6667d9048a2aa4b9c1ead41aca3/P8.jpg', 'path': 'full/9358469fe2de36c517e1e1c0b0583fa649d6c280.jpg', 'checksum': '597db6d6d63a9aafc4ca4079952e4920', 'status': 'downloaded'}, {'url': 'https://media-photos.depop.com/b1/39895752/1470846326_b114570bdf7d4ea3ac0c400a65ed484c/P8.jpg', 'path': 'full/ea51fc68a6ead6e65950349f096b252965598385.jpg', 'checksum': 'a7983a5fd9c1bfd3e49de1c5368b35c0', 'status': 'downloaded'}, {'url': 'https://media-photos.depop.com/b1/39895752/1470846349_510bc3da6c2b4450a0690f1503df761d/P8.jpg', 'path': 'full/9f8d312fb8f22126cc2a0ea6c1581c9a3f8873c5.jpg', 'checksum': 'a094ec5c21895ddda0e152cb44ca37d1', 'status': 'downloaded'}]",https://media-photos.depop.com/b1/39895752/1470846289_1dc8277786914b12a5a4e6ce0f32d1aa/P8.jpg,https://media-photos.depop.com/b1/39895752/1470846302_db9ec6667d9048a2aa4b9c1ead41aca3/P8.jpg,https://media-photos.depop.com/b1/39895752/1470846326_b114570bdf7d4ea3ac0c400a65ed484c/P8.jpg,https://media-photos.depop.com/b1/39895752/1470846349_510bc3da6c2b4450a0690f1503df761d/P8.jpg,sabsssx9-oh-polly-corset-type-dress
345714054,2023-03-23T22:43:12.394298Z,"https://media-photos.depop.com/b1/33357494/1470826525_0d2ca6a324a344d4914d829a11c823e1/P8.jpg,https://media-photos.depop.com/b1/33357494/1470825413_034063c99e7f4cc9936ea5d204ef7a29/P8.jpg,https://media-photos.depop.com/b1/33357494/1470825425_ff20d0dcdbf5497ca1167a97f8f0b1cd/P8.jpg,https://media-photos.depop.com/b1/33357494/1470825444_a2ccda83e7214e789bf659e9edf30843/P8.jpg","[{'url': 'https://media-photos.depop.com/b1/33357494/1470826525_0d2ca6a324a344d4914d829a11c823e1/P8.jpg', 'path': 'full/8292ebf868d92beb0d2f624a93bcca4e788677e7.jpg', 'checksum': 'c4127cfb95ab941dddd367496aff0c6e', 'status': 'downloaded'}, {'url': 'https://media-photos.depop.com/b1/33357494/1470825413_034063c99e7f4cc9936ea5d204ef7a29/P8.jpg', 'path': 'full/bd55a722c35508059e5d6f08af8c192e8698c069.jpg', 'checksum': '8b5074a900004248d3f979392166d919', 'status': 'downloaded'}, {'url': 'https://media-photos.depop.com/b1/33357494/1470825425_ff20d0dcdbf5497ca1167a97f8f0b1cd/P8.jpg', 'path': 'full/8a498f2349033e0511f47589d1983c1cf15b742e.jpg', 'checksum': '3fb7bf7e554b542c43d49178bcd39148', 'status': 'downloaded'}, {'url': 'https://media-photos.depop.com/b1/33357494/1470825444_a2ccda83e7214e789bf659e9edf30843/P8.jpg', 'path': 'full/97859807daf1c8d04c3f608737c58d1fbf2ac377.jpg', 'checksum': '24026f7c57cd7ece8d47a56274ae84f4', 'status': 'downloaded'}]",https://media-photos.depop.com/b1/33357494/1470826525_0d2ca6a324a344d4914d829a11c823e1/P8.jpg,https://media-photos.depop.com/b1/33357494/1470825413_034063c99e7f4cc9936ea5d204ef7a29/P8.jpg,https://media-photos.depop.com/b1/33357494/1470825425_ff20d0dcdbf5497ca1167a97f8f0b1cd/P8.jpg,https://media-photos.depop.com/b1/33357494/1470825444_a2ccda83e7214e789bf659e9edf30843/P8.jpg,thbbkjv-best-fits-s-m
345697991,2023-03-23T21:08:23.779323Z,"https://media-photos.depop.com/b1/40680824/1470763031_99abc6f264644e5498dfdbd25f1ead0a/P8.jpg,https://media-photos.depop.com/b1/40680824/1470763073_ea45f21845d04c3c90d257129df83b4d/P8.jpg","[{'url': 'https://media-photos.depop.com/b1/40680824/1470763031_99abc6f264644e5498dfdbd25f1ead0a/P8.jpg', 'path': 'full/d773d07dadebbd7d31cde8a0e51001329e7187d4.jpg', 'checksum': '2ef7c410c4ea1481de6562fc2b09a1b9', 'status': 'downloaded'}, {'url': 'https://media-photos.depop.com/b1/40680824/1470763073_ea45f21845d04c3c90d257129df83b4d/P8.jpg', 'path': 'full/a5c88c10b9bd2364e6f646d65eb24364c445650a.jpg', 'checksum': '8f01fc63b23068c32cee926a585a9154', 'status': 'downloaded'}]",https://media-photos.depop.com/b1/40680824/1470763031_99abc6f264644e5498dfdbd25f1ead0a/P8.jpg,https://media-photos.depop.com/b1/40680824/1470763073_ea45f21845d04c3c90d257129df83b4d/P8.jpg,,,yara2u-vinyl-dress-in-pink-very
